,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
11,Asau,RO,274.66,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
15,Shadrinsk,RU,251.51,scattered clouds,56.0852,63.6335,Ural
17,Thompson,CA,268.86,overcast clouds,55.7435,-97.8558,Burntwood Hotel
19,Verkh-Usugli,RU,255.13,few clouds,52.7,115.1667,"Gostinitsa ""Sever"""
34,Kodiak,US,273.29,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn
36,Provideniya,RU,263.21,scattered clouds,64.3833,-173.3,
39,Batsfjord,NO,271.03,few clouds,70.6345,29.7185,Adventure Apartements
41,Beringovskiy,RU,251.06,clear sky,63.05,179.3167,
49,Nome,US,267.13,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
52,Nuuk,GL,263.41,overcast clouds,64.1835,-51.7216,Vandrehuset
55,Falavarjan,IR,270.71,clear sky,32.5553,51.5097,بوستان
64,Muhos,FI,264.03,overcast clouds,64.808,25.9931,Montta - active camping / campsite Montan
73,Qaanaaq,GL,261.02,scattered clouds,77.484,-69.3632,Qaanaaq Hotel
77,Whitehorse,CA,268.72,overcast clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
83,Nikolskoye,RU,270.09,overcast clouds,59.7035,30.7861,Tourist House - Sablino
84,Petropavlovsk-Kamchatskiy,RU,273.48,light shower snow,53.0452,158.6483,The Hotel Petropavlovsky
85,Barrow,US,262.88,overcast clouds,71.2906,-156.7887,King Eider Inn
89,Rochegda,RU,260.27,few clouds,62.8,43.25,
92,Aklavik,CA,264.04,light snow,68.2191,-135.0107,Aklavik Inn
97,Harnosand,SE,274.26,overcast clouds,62.6323,17.9379,First Hotel Stadt
112,Yellowknife,CA,270.44,light snow,62.456,-114.3525,The Explorer Hotel
123,Mnogovershinnyy,RU,262.0,overcast clouds,53.9353,139.9242,Obshchezhitiye 14
127,Nanortalik,GL,273.06,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
138,Urumqi,CN,271.68,mist,43.801,87.6005,Hua Ling Grand Hotel Urumqi
140,Romny,UA,272.48,overcast clouds,50.751,33.4747,Floriana
143,Haines Junction,CA,269.12,overcast clouds,60.7522,-137.5108,Parkside Inn
154,Severo-Kurilsk,RU,274.61,light snow,50.6789,156.125,Kak Doma
156,Norman Wells,CA,266.17,light snow,65.282,-126.8329,Heritage Hotel
173,Tuktoyaktuk,CA,265.15,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
178,Kamen-Na-Obi,RU,256.65,overcast clouds,53.7884,81.3423,Hotel Ob
185,Bonavista,CA,273.06,broken clouds,48.6499,-53.1147,Sweet Sharons bnb
191,Millinocket,US,270.6,clear sky,45.6573,-68.7098,Katahdin Inn & Suites
194,Torbay,CA,274.03,light snow,47.6666,-52.7314,Gallows Cove
195,Upernavik,GL,265.91,overcast clouds,72.7868,-56.1549,Café de Upernavik
196,Ust-Tsilma,RU,257.72,overcast clouds,65.441,52.1498,U Praskov'i
201,Kreminna,UA,274.87,snow,49.0495,38.2179,"ОЗЕРНЫЙ, САНАТОРИЙ"
208,Babstovo,RU,264.55,light snow,48.1167,132.4833,
209,Salmo,CA,272.42,snow,49.1999,-117.2689,Reno Motel
211,Shimanovsk,RU,258.53,broken clouds,52.0,127.7,Гостиница Домашняя
213,Skelleftea,SE,263.71,overcast clouds,64.7507,20.9528,Quality Hotel Skellefteå Stadshotell
216,Chapais,CA,266.03,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
221,Narsaq,GL,272.27,overcast clouds,60.9167,-46.05,Sleep In Narsaq
236,Terrace Bay,CA,270.76,overcast clouds,48.7834,-87.1,Drifters Motel & Restaurant
242,Qaqortoq,GL,269.89,overcast clouds,60.7167,-46.0333,Siniffik Inn
244,Talgar,KZ,271.24,mist,43.3027,77.2395,fazenda Umihalyicha
246,Kenai,US,274.34,light rain,60.5544,-151.2583,Aspen Extended Stay Suites
247,Iqaluit,CA,257.0,few clouds,63.7506,-68.5145,Frobisher Inn
259,Mehamn,NO,270.12,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
261,Kungurtug,RU,261.09,overcast clouds,50.5994,97.5228,
263,College,US,264.03,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
266,Clyde River,CA,258.28,overcast clouds,70.4692,-68.5914,Qamaq Hotel
276,Tigil,RU,273.38,overcast clouds,57.8,158.6667,Tigil'
280,Ayan,RU,262.71,overcast clouds,56.45,138.1667,Gostinitsa
287,Ishim,RU,250.67,few clouds,56.1128,69.4902,Hostel v Ishime
298,Shenkursk,RU,260.17,clear sky,62.1091,42.896,"""Vaga"" hotel"
299,Zhezkazgan,KZ,271.14,overcast clouds,47.8043,67.7144,Hotel Zumrat
308,Lavrentiya,RU,257.49,overcast clouds,65.5833,-171.0,
309,Steamboat Springs,US,272.46,clear sky,40.485,-106.8317,Steamboat Grand
314,Cody,US,271.26,clear sky,44.5263,-109.0565,"Holiday Inn Cody-at Buffalo Bill Village, an IHG Hotel"
320,Iskateley,RU,265.19,light snow,67.6803,53.1512,Hostel Agat
327,Novikovo,RU,273.59,light snow,51.1537,37.8879,
333,Totma,RU,266.08,light snow,59.9747,42.7642,Varnitsy
334,Hakkari,TR,272.03,broken clouds,37.5833,44.1667,Koprucek Koyu Muhtarligi
335,Marystown,CA,273.74,clear sky,47.1666,-55.1483,Marystown Hotel & Convention Centre
366,Burgeo,CA,272.2,scattered clouds,47.6167,-57.6152,Gillett's Motel
370,Magistralnyy,RU,260.84,overcast clouds,56.1725,107.4458,Магистраль
374,Sisimiut,GL,263.27,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
377,Vostok,RU,266.56,scattered clouds,46.4856,135.8833,
378,Berlevag,NO,271.04,scattered clouds,70.8578,29.0864,Kvitbrakka
386,Lieksa,FI,265.71,overcast clouds,63.3167,30.0167,Kaatrahovi
390,Fairbanks,US,264.04,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
398,Fort Nelson,CA,270.34,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
401,Ornskoldsvik,SE,272.49,overcast clouds,63.2909,18.7153,ファーストホテル スタット
405,Sarkand,KZ,273.43,snow,45.41,79.9186,Гостиница Сарканд
407,Zhangye,CN,274.51,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
409,Kursk,RU,272.33,light snow,51.7303,36.1939,"Gostinitsa Avrora, Kursk"
413,Vidim,RU,262.25,overcast clouds,56.4088,103.1106,
414,Kalevala,RU,265.86,overcast clouds,65.2,31.1667,Hotel on Sadovaya 2
415,Berdsk,RU,254.03,overcast clouds,54.7551,83.0967,Mini-Hotel Kalinina 9A
420,Ilulissat,GL,267.16,overcast clouds,69.2167,-51.1,Hotel Arctic
425,Hammerfest,NO,273.4,clear sky,70.6634,23.6821,Skytterhuset
430,Skjervoy,NO,267.15,broken clouds,70.0311,20.9714,Tschudi Marine Services AS
435,Tilichiki,RU,268.07,snow,60.4667,166.1,
437,Baykalovo,RU,251.39,scattered clouds,57.3981,63.7684,Gostinitsa Karavan
453,Krasnovishersk,RU,255.23,overcast clouds,60.4078,57.082,Vishera hotel
459,Smithers,CA,272.33,broken clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
461,Flin Flon,CA,267.99,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
463,Belyy Yar,RU,268.09,few clouds,53.6039,91.3903,Pasportnyy Stol
470,Svetlaya,RU,271.07,few clouds,46.5389,138.3297,
486,Khilok,RU,258.3,overcast clouds,51.3674,110.4676,"Gostevoy Dom ""Magnit"""
490,Boguchany,RU,262.25,light snow,58.3814,97.4531,Uyut
491,Tornio,FI,257.16,scattered clouds,65.8481,24.1466,Park Hotel Tornio
493,Pangnirtung,CA,254.91,broken clouds,66.1451,-65.7125,Kilabuk Lodge
496,Okhotsk,RU,258.66,few clouds,59.3833,143.3,
498,Evensk,RU,261.59,light snow,61.95,159.2333,
500,Souris,CA,272.45,overcast clouds,49.6172,-100.2612,The Souris Hotel
506,Debno,PL,274.34,overcast clouds,52.739,14.698,Domek na plaży
521,Hami,CN,273.89,overcast clouds,42.8,93.45,Laoyutang Resort
523,Amazar,RU,253.79,few clouds,53.858,120.875,Гостиничный Комплекс Уют
531,High Level,CA,272.21,smoke,58.5169,-117.136,Days Inn by Wyndham High Level
546,Havre-Saint-Pierre,CA,270.15,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
551,Siilinjarvi,FI,266.16,overcast clouds,63.0833,27.6667,Hotelli Sandels Oy
553,Maniitsoq,GL,265.56,broken clouds,65.4167,-52.9,Hotel Heilmann Lyberth
557,Leh,IN,260.09,clear sky,34.1667,77.5833,Hotel Ladakh Greens
558,Sobolevo,RU,267.6,overcast clouds,54.4299,31.8996,
562,Mezen,RU,264.91,scattered clouds,65.8522,44.24,Gostevoy Dom Everest
566,Teya,RU,255.27,overcast clouds,60.3778,92.6267,
568,Vardo,NO,274.14,broken clouds,70.3705,31.1107,Wilhelmsen eiendom AS
580,Ulaanbaatar,MN,256.22,scattered clouds,47.9077,106.8832,The Blue Sky Hotel and Tower
591,Chany,RU,252.15,broken clouds,55.3121,76.7647,Sakura
607,Saint-Honore,CA,268.77,overcast clouds,48.5334,-71.0824,Camping Plage Margot
610,Channel-Port Aux Basques,CA,274.23,overcast clouds,47.5702,-59.1367,St. Christopher's Hotel
615,Kurchum,KZ,268.63,light snow,48.5722,83.6542,"""Kneda"" Hotel"
628,Salekhard,RU,257.42,overcast clouds,66.53,66.6019,Hotel 89
630,Koshurnikovo,RU,265.9,overcast clouds,54.1667,93.3,Outskirts Manor
635,Svetlogorsk,BY,262.8,broken clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
638,Wielun,PL,274.28,overcast clouds,51.221,18.5696,Zajazd Boryna
656,La Sarre,CA,269.45,snow,48.8002,-79.1996,Motel Villa Mon Repos
660,Hailey,US,272.07,broken clouds,43.5196,-114.3153,Wood River Inn & Suites
686,Esso,RU,269.26,broken clouds,55.9333,158.7,Paramushir Tur
692,Bay Roberts,CA,274.45,broken clouds,47.5999,-53.2648,Stonewall Inn
694,Kirensk,RU,258.68,overcast clouds,57.7853,108.1119,Kirenskiy Plos
698,Snezhnogorsk,RU,267.03,overcast clouds,69.1933,33.2531,Severnoye Siyaniye
699,Oktyabrskoye,RU,272.23,clear sky,43.0645,44.7417,Prolesok Mini-hotel
706,Pudozh,RU,263.67,scattered clouds,61.8099,36.5345,Guest-House na Transportnoy
